Annexure II- Nifty Next 50 Index : June 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,18046.16,1.57,0.93,0.33,1.02,1.45,0.03
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,6762.85,0.59,0.15,0.02,0.86,4.87,0.05
3,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,43934.30,3.81,1.40,0.18,4.42,14.53,0.03
4,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,37309.42,3.24,0.53,0.03,2.47,-11.30,0.51
5,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,22061.95,1.92,1.00,0.10,3.47,-28.10,1.84
6,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,15001.75,1.30,0.21,0.02,1.37,7.03,0.04
7,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,26526.87,2.30,0.98,0.29,1.19,4.24,0.03
8,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,38616.73,3.35,0.64,0.09,2.18,14.24,0.02
9,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,28772.99,2.50,0.68,0.12,1.53,-3.28,0.02
10,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,37734.35,3.28,0.67,0.12,1.53,8.95,0.05
11,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,13709.02,1.19,0.59,0.13,0.92,1.80,0.04
12,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16106691450,23679.51,2.06,1.42,0.31,2.32,7.43,0.03
13,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971295037,20721.22,1.80,0.74,0.28,0.91,-0.06,0.03
14,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,19548.08,1.70,0.83,0.21,1.27,4.19,0.03
15,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13621.33,1.18,1.00,0.21,0.99,-1.52,0.04
16,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,17502.47,1.52,0.60,0.09,1.34,4.35,0.03
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,23813.46,2.07,0.33,0.08,0.76,-2.01,0.03
18,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,18437.65,1.60,1.72,0.42,2.15,-2.55,0.04
19,DABUR,Dabur India Ltd.,PERSONAL CARE,1767851627,35168.63,3.05,0.40,0.13,0.93,5.24,0.03
20,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,44403852250,28172.91,2.45,1.00,0.22,1.45,-6.44,0.03
21,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,163904723,12752.35,1.11,-0.03,0.00,1.63,8.58,0.04
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022486273,34896.15,3.03,0.42,0.05,1.38,1.60,0.04
23,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1065342070,17130.50,1.49,0.83,0.27,1.09,-2.17,0.03
24,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626303067,26027.57,2.26,0.82,0.17,1.04,-4.91,0.03
