Annexure II-  Nifty 50 Index : May 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4063503522,56287.24,0.84,1.07,0.26,2.07,5.41,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,134232.54,1.99,0.66,0.16,2.03,17.39,0.02
3,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6126763828,188573.83,2.80,1.52,0.44,1.66,5.01,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200,54596.61,0.81,0.68,0.20,1.46,9.37,0.02
5,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1205174678,149218.58,2.21,1.68,0.46,1.60,3.23,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220,71395.33,1.06,1.51,0.43,1.58,6.93,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,44027.15,0.65,0.96,0.21,1.44,11.90,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340,129258.16,1.92,0.81,0.20,1.59,-0.34,0.02
9,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,40693.41,0.60,0.31,0.07,1.08,-0.03,0.02
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1612920892,48233.63,0.72,0.39,0.05,1.42,4.28,0.02
11,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,30947.99,0.46,0.93,0.25,2.69,11.01,0.04
12,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,53442.01,0.79,0.67,0.15,1.10,3.24,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,831501845,64452.69,0.96,0.22,0.02,1.27,2.83,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273335922,37305.88,0.55,1.03,0.32,1.59,10.51,0.02
15,GRASIM,Grasim Industries Ltd.,CEMENT,1315902008,56142.70,0.83,0.93,0.27,1.49,4.95,0.02
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,102598.25,1.52,0.67,0.15,0.61,5.14,0.02
17,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5512776482,660166.84,9.79,1.26,0.56,1.72,7.33,0.02
18,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,20209439660,55175.61,0.82,0.61,0.20,0.73,0.12,0.02
