Annexure II-  Nifty 50 Index : Nov 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4083503522,50265.07,0.68,1.33,0.24,2.16,-1.32,0.03
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,141722.96,1.92,0.61,0.12,1.21,1.40,0.02
3,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6132598898,168875.22,2.29,1.30,0.44,1.07,-11.64,0.02
4,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200,42193.62,0.57,0.67,0.18,1.12,-12.60,0.03
5,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1207188690,185834.02,2.52,1.30,0.38,1.91,-5.45,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220,104238.10,1.41,1.27,0.33,2.03,-3.28,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,35315.43,0.48,0.83,0.21,1.81,-11.42,0.02
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340,171981.46,2.33,0.86,0.22,1.92,6.26,0.03
9,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,41845.93,0.57,0.23,0.04,1.40,-3.54,0.03
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1613307248,49360.67,0.67,0.22,0.02,1.97,7.32,0.02
11,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,31848.98,0.43,0.98,0.20,1.89,-7.57,0.04
12,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,62168.07,0.84,0.63,0.15,1.97,-5.27,0.02
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,831982535,56797.29,0.77,0.32,0.04,1.33,0.36,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273399672,33052.09,0.45,0.99,0.31,2.11,-4.60,0.02
15,GRASIM,Grasim Industries Ltd.,CEMENT,1316209202,63455.83,0.86,0.90,0.27,1.93,-3.41,0.03
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,123596.59,1.68,0.79,0.23,1.38,-0.45,0.02
17,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5537451890,653366.44,8.87,1.13,0.51,0.98,-5.64,0.02
18,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,20231321130,63358.02,0.86,0.66,0.22,1.23,0.05,0.02
19,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399588400,31808.14,0.43,0.82,0.29,1.24,-7.82,0.02
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247114735,60287.28,0.82,1.56,0.33,2.36,-10.23,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,PERSONAL CARE,2349591262,206921.22,2.81,0.37,0.08,0.68,-3.16,0.02
22,HDFC,Housing Development Finance Corporation Ltd.,HOUSING FINANCE,3609705098,482455.13,6.55,1.35,0.58,1.53,-6.03,0.02
23,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,13866912880,495291.46,6.72,1.45,0.51,1.06,-10.93,0.03
24,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12320326302,193449.45,2.63,0.84,0.25,1.54,-0.92,0.03
25,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,94141589220,30234.98,0.41,0.94,0.26,2.14,-7.03,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7740861740,53314.41,0.72,1.53,0.34,3.39,-22.56,0.03
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21306358815,634931.84,8.62,0.71,0.27,1.22,2.69,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2417220440,60296.11,0.82,1.20,0.25,2.34,-9.08,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9915118875,287896.58,3.91,1.08,0.39,1.91,-3.41,0.02
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2809312020,213182.54,2.89,1.11,0.44,1.69,-0.11,0.03
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6215962720,79978.93,1.09,1.19,0.33,2.15,-5.51,0.02
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300,93941.82,1.28,0.76,0.18,2.48,-5.54,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,60461.14,0.82,0.88,0.22,1.85,-4.07,0.04
34,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,68324.45,0.93,0.32,0.07,0.90,0.80,0.03
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,51842.07,0.70,1.17,0.23,2.33,-4.66,0.03
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,69754528640,70666.57,0.96,0.75,0.16,1.63,11.73,0.03
37,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,63394431200,777693.72,10.56,1.01,0.38,2.11,-5.16,0.02
38,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10001921830,51074.01,0.69,0.59,0.14,1.59,1.31,0.03
39,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,34846.18,0.47,1.00,0.28,1.49,-8.85,0.04
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611534,176739.88,2.40,1.46,0.44,1.72,-8.28,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,81366.25,1.10,0.76,0.20,1.52,-5.21,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3699051373,365526.20,4.96,0.62,0.21,0.82,3.87,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,921551715,46638.81,0.63,0.73,0.23,1.70,-3.82,0.03
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6640615530,82225.43,1.12,1.82,0.30,2.35,-5.19,0.03
45,TATASTEEL,Tata Steel Ltd.,STEEL,12029702410,83760.41,1.14,1.40,0.27,2.15,-18.60,0.03
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4848571855,95665.04,1.30,0.81,0.19,1.94,4.30,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,99119.99,1.35,0.96,0.26,1.92,-0.34,0.03
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528090912,37501.18,0.51,0.93,0.15,1.86,-7.90,0.03
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886595660,85832.92,1.17,0.98,0.32,1.51,-2.65,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10959426980,94282.58,1.28,0.90,0.24,1.18,-1.47,0.02
,,,,,7366832.54,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-December-2020 to 30-November-2021,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-December-2020 to 30-November-2021,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-November-2021,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
