Annexure II- Nifty Next 50 Index : Apr 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,21495.84,1.65,0.91,0.27,2.52,8.25,0.02
2,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,70034.35,5.38,1.52,0.31,2.26,15.75,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,67083.74,5.15,0.81,0.08,4.44,50.56,0.05
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,51870.86,3.98,1.01,0.10,3.33,17.79,0.05
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,29867.89,2.29,0.97,0.25,2.34,24.38,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,39742.54,3.05,0.82,0.19,1.15,-1.48,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,17509.19,1.34,0.78,0.17,4.07,3.16,0.05
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16107586860,24709.89,1.90,1.15,0.22,1.90,8.78,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,22957.59,1.76,1.25,0.24,2.03,1.16,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971323489,19042.45,1.46,0.79,0.29,1.09,2.61,0.03
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,18360.54,1.41,0.61,0.09,1.99,9.79,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13538.41,1.04,0.90,0.23,1.46,0.37,0.04
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1641990562,31798.32,2.44,1.22,0.23,2.80,2.83,0.03
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,24085.01,1.85,0.39,0.11,1.26,7.28,0.02
15,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,25134.09,1.93,1.70,0.40,2.09,-2.26,0.03
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1767856483,35473.74,2.72,0.45,0.11,1.40,3.82,0.02
17,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,474104876,6518.68,0.50,1.20,0.18,2.70,0.28,0.03
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,44403852250,31647.25,2.43,0.62,0.09,1.67,2.25,0.03
19,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,164302723,11385.05,0.87,0.47,0.04,2.07,-2.16,0.04
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022581079,32333.53,2.48,0.72,0.09,2.45,4.70,0.04
21,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1066301410,14743.45,1.13,1.01,0.37,2.24,-4.86,0.03
22,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626303067,35895.25,2.76,0.93,0.24,1.71,13.82,0.03
23,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4908914280,35693.69,2.74,0.67,0.18,2.10,-3.62,0.04
24,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14373061010,22285.23,1.71,0.98,0.27,1.77,4.96,0.04
25,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,94141589220,34981.68,2.69,0.85,0.23,2.10,5.93,0.03
26,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,18456.14,1.42,1.23,0.22,1.05,-5.88,0.04
27,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1287841200,39256.18,3.01,1.11,0.23,1.67,3.14,0.03
28,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3852547290,19547.08,1.50,1.39,0.30,1.80,-7.75,0.04
29,JUBLFOOD,Jubilant Foodworks Ltd.,RESTAURANTS,1319690400,22823.78,1.75,1.23,0.25,2.95,3.55,0.04
