Annexure II- Nifty Next 50 Index : Dec 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,23547.24,1.70,0.92,0.28,1.58,-4.75,0.02
2,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,35024.63,2.53,1.04,0.11,2.40,-8.73,0.04
3,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,52825.54,3.82,1.23,0.18,3.07,1.65,0.05
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,11154926830,37566.90,2.72,1.08,0.16,3.43,-10.98,0.05
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,45988.41,3.33,0.89,0.19,2.38,-8.17,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,30167.01,2.18,0.87,0.22,2.06,1.07,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,12965.58,0.94,0.86,0.19,1.43,-8.79,0.04
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16108256600,21176.99,1.53,1.06,0.22,1.74,-1.76,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,41290.51,2.99,1.30,0.31,2.47,11.70,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971349249,16861.03,1.22,0.91,0.35,1.01,-6.60,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,42736.28,3.09,0.85,0.22,1.48,-4.95,0.04
12,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,13892.60,1.00,0.72,0.16,1.25,-7.42,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,17636.15,1.28,1.04,0.44,1.10,1.53,0.04
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1643372412,34053.08,2.46,1.16,0.30,1.47,1.13,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,24453.95,1.77,0.45,0.15,1.32,-5.87,0.02
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,27716.13,2.00,1.54,0.52,1.84,-6.87,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1771763464,38018.74,2.75,0.66,0.24,1.04,-4.57,0.02
18,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,2848275690,11014.36,0.80,1.00,0.12,2.33,-10.13,0.04
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,30925.34,2.24,0.56,0.10,1.50,1.37,0.04
20,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,164690223,4998.07,0.36,0.47,0.05,1.29,-11.41,0.03
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022695318,39501.64,2.86,0.74,0.17,1.38,-0.84,0.03
22,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1066594885,20564.46,1.49,1.05,0.36,1.81,-0.26,0.04
23,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626509738,32922.41,2.38,0.87,0.29,1.05,-12.25,0.03
24,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,25272.95,1.83,0.91,0.21,1.60,-8.09,0.03
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4910974530,37722.58,2.73,0.76,0.25,1.00,2.12,0.04
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14385618460,20935.75,1.51,0.90,0.30,1.10,-5.23,0.03
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,34836.05,2.52,0.65,0.21,1.38,-0.20,0.04
28,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,23226.34,1.68,1.28,0.44,2.09,-13.11,0.03
29,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,19003.00,1.37,1.05,0.27,1.17,-4.97,0.03
30,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1291841200,36400.75,2.63,1.44,0.36,1.72,-1.54,0.03
31,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3854747880,25881.16,1.87,1.19,0.31,1.95,3.63,0.03
32,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,295798429,47809.31,3.46,1.25,0.35,2.02,-9.78,0.04
33,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,9011.18,0.65,0.78,0.19,2.66,7.59,0.03
34,MARICO,Marico Ltd.,PERSONAL CARE,1293012108,31494.59,2.28,0.65,0.20,1.13,0.49,0.03
35,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,1883232260,19524.08,1.41,1.13,0.32,2.04,-2.20,0.03
36,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4014362510,13761.47,1.00,0.74,0.17,1.59,-1.64,0.04
37,PAYTM,One 97 Communications Ltd.,FINANCIAL TECHNOLOGY (FINTECH),649334387,2511.40,0.18,0.89,0.08,3.34,10.23,0.03
38,PIIND,PI Industries Ltd.,PESTICIDES AND AGROCHEMICALS,151718118,32844.12,2.37,0.81,0.22,0.81,-2.09,0.04
