Annexure II- Nifty Next 50 Index : Jan 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,18511.41,1.50,0.85,0.27,2.18,-8.60,0.03
2,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,47409.96,3.83,1.60,0.30,3.13,-4.11,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,52527.97,4.25,0.89,0.11,3.11,-1.83,0.05
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,46487.48,3.76,0.84,0.07,3.13,8.30,0.27
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,24208.61,1.96,0.93,0.26,2.60,-13.94,0.03
6,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,50686.97,4.10,0.84,0.12,2.83,7.75,0.03
7,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,18439.04,1.49,0.75,0.15,2.40,-1.45,0.02
8,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,51224.66,4.14,0.91,0.20,2.35,5.49,0.04
9,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,20639.00,1.67,0.58,0.13,1.32,0.81,0.05
10,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16107232250,21727.43,1.76,1.16,0.23,2.68,-2.93,0.03
11,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,20799.46,1.68,1.37,0.27,3.50,-0.93,0.04
12,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971295037,17579.83,1.42,0.79,0.29,2.04,-4.42,0.04
13,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,17127.46,1.39,0.65,0.11,3.48,-4.97,0.04
14,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,14124.24,1.14,0.94,0.25,2.04,-4.75,0.05
15,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9671.79,0.78,0.68,0.14,2.21,-11.34,0.04
16,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1641812798,28547.80,2.31,1.28,0.26,2.80,9.76,0.03
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,20268.47,1.64,0.39,0.12,1.37,1.82,0.03
