Annexure II-  Nifty 50 Index : Jul 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4224746460,54849.46,0.73,1.41,0.53,0.90,13.64,0.02
2,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,43002.15,0.57,0.91,0.16,1.03,14.36,0.02
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,150293.10,2.00,0.82,0.26,1.28,23.69,0.02
4,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6142734532,191433.71,2.54,1.04,0.41,1.46,13.81,0.02
5,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200,50972.07,0.68,0.68,0.23,1.20,5.61,0.02
6,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1210858466,192042.39,2.55,1.41,0.52,2.54,33.49,0.02
7,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220,90996.19,1.21,1.36,0.46,2.63,37.65,0.03
8,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,31526.18,0.42,0.90,0.28,1.63,7.10,0.02
9,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340,163826.07,2.18,0.82,0.27,1.67,-1.02,0.02
10,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,46034.65,0.61,0.56,0.19,1.70,12.52,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1613814406,52840.96,0.70,0.27,0.04,1.38,6.56,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,44263.80,0.59,0.93,0.18,1.28,13.82,0.03
13,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,48824.77,0.65,0.81,0.23,1.21,5.54,0.02
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832129245,49694.02,0.66,0.58,0.18,1.48,-6.91,0.02
15,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273428852,43137.76,0.57,0.96,0.31,1.73,10.70,0.02
16,GRASIM,Grasim Industries Ltd.,CEMENT,1316590852,59023.43,0.78,1.20,0.47,1.25,19.10,0.03
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,100371.96,1.33,0.92,0.34,1.63,-2.55,0.02
18,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5552849616,629147.86,8.36,1.01,0.50,1.05,6.39,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21130735730,51647.74,0.69,0.98,0.37,1.61,1.00,0.02
20,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399637306,36601.43,0.49,0.87,0.30,1.15,3.62,0.02
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247172724,60624.79,0.81,1.29,0.29,2.16,22.56,0.02
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,235478.86,3.13,0.70,0.25,1.69,18.24,0.02
