Annexure II- Nifty Next 50 Index : Mar 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,19857.04,1.58,0.88,0.29,2.09,2.98,0.03
2,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,60506.73,4.81,1.60,0.32,2.15,22.52,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,44555.73,3.54,0.90,0.12,2.37,3.87,0.04
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,44035.84,3.50,0.86,0.07,2.98,10.95,0.53
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,24013.88,1.91,0.98,0.28,2.26,-4.77,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,40338.04,3.20,0.92,0.22,1.59,-7.76,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,16972.68,1.35,0.65,0.17,1.34,-3.68,0.05
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16107586860,22714.78,1.80,1.30,0.26,3.10,0.36,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,22693.24,1.80,1.42,0.29,2.69,4.74,0.04
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971323489,18558.40,1.47,0.81,0.31,1.92,1.34,0.03
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,16723.56,1.33,0.61,0.10,1.30,-3.80,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13488.80,1.07,0.93,0.24,1.95,-8.32,0.04
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1641990562,30924.54,2.46,1.39,0.30,2.72,3.98,0.04
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,22450.27,1.78,0.41,0.13,1.23,6.33,0.03
15,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,25715.38,2.04,1.87,0.44,2.64,8.47,0.04
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1767856483,34167.45,2.71,0.41,0.10,2.35,-4.82,0.02
17,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,474104876,6500.79,0.52,1.20,0.17,3.89,30.85,0.04
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,44403852250,30951.27,2.46,0.76,0.13,2.76,7.46,0.04
19,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,164302723,11636.80,0.92,0.27,0.01,1.45,0.29,0.04
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022581079,30882.99,2.45,0.67,0.09,2.88,-2.69,0.04
21,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1066301410,15496.60,1.23,0.97,0.36,2.01,2.87,0.03
22,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626303067,31537.64,2.51,1.03,0.29,2.08,-2.80,0.03
23,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4908914280,37034.78,2.94,0.70,0.19,1.84,5.10,0.05
24,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14373061010,21231.90,1.69,0.93,0.23,2.21,4.54,0.05
25,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,94141589220,33024.37,2.62,0.87,0.26,1.99,3.43,0.04
26,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,19608.55,1.56,1.32,0.24,2.50,3.23,0.04
27,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1287841200,38059.40,3.02,1.01,0.19,2.38,1.24,0.03
28,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3852547290,21188.72,1.68,1.39,0.31,3.09,7.43,0.03
29,JUBLFOOD,Jubilant Foodworks Ltd.,RESTAURANTS,1319690400,22042.08,1.75,1.19,0.25,3.50,-9.41,0.04
30,LTI,Larsen & Toubro Infotech Ltd.,COMPUTERS - SOFTWARE,175270156,30638.14,2.43,0.84,0.13,2.06,5.22,0.04
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,908901568,19653.38,1.56,0.70,0.12,1.82,0.16,0.03
