Annexure II- Nifty Next 50 Index : Nov 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,27086.70,1.90,0.90,0.29,1.09,7.24,0.02
2,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,36114.04,2.53,0.95,0.09,2.07,0.65,0.03
3,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,46779.88,3.27,1.24,0.19,1.64,0.83,0.05
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,11154926830,37987.59,2.66,1.02,0.15,2.02,-13.15,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,52436.75,3.67,0.84,0.19,1.52,7.09,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,28089.08,1.97,0.85,0.23,0.99,-6.84,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,14437.12,1.01,0.87,0.19,1.84,-5.49,0.04
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16108180660,22570.29,1.58,1.11,0.24,2.01,-0.06,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,38703.98,2.71,1.28,0.32,2.57,12.56,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971349249,18900.42,1.32,0.90,0.35,1.44,6.25,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,47074.91,3.29,0.82,0.21,1.36,-1.64,0.03
12,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,16137.07,1.13,0.78,0.18,1.51,4.82,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,18187.55,1.27,1.08,0.47,1.43,3.13,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1643095662,35251.33,2.47,1.20,0.31,1.65,0.78,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,27201.23,1.90,0.47,0.18,0.79,0.02,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,31159.08,2.18,1.54,0.52,1.25,4.45,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1771763464,43017.18,3.01,0.65,0.24,1.46,6.07,0.02
18,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,2847314220,2986.96,0.21,1.05,0.13,4.36,-10.32,0.05
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,31941.25,2.23,0.58,0.11,1.21,3.78,0.04
20,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,164688423,4941.58,0.35,0.45,0.05,2.76,-0.26,0.03
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022634954,41706.77,2.92,0.79,0.19,1.04,6.29,0.03
22,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1066535885,18085.16,1.27,1.02,0.36,0.82,5.42,0.03
23,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626508016,39283.91,2.75,0.88,0.31,1.08,3.06,0.03
24,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,28790.44,2.01,0.86,0.20,2.02,8.85,0.03
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4910933780,38676.92,2.71,0.79,0.27,1.18,3.52,0.04
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14385417460,23129.28,1.62,0.92,0.32,1.46,-6.18,0.04
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,36545.61,2.56,0.65,0.22,1.27,12.31,0.04
28,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,24304.47,1.70,1.27,0.45,1.14,-0.67,0.02
29,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,20936.04,1.46,1.10,0.29,1.35,8.03,0.03
30,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1289841200,38649.02,2.70,1.41,0.36,2.88,1.83,0.03
31,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3854345880,23345.74,1.63,1.22,0.32,1.62,8.74,0.03
32,LTI,Larsen & Toubro Infotech Ltd.,COMPUTERS - SOFTWARE,175325436,27581.63,1.93,1.22,0.35,1.75,2.08,0.03
33,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,7539.60,0.53,0.62,0.18,1.64,5.36,0.03
34,MARICO,Marico Ltd.,PERSONAL CARE,1292940968,32812.01,2.30,0.66,0.22,1.73,-3.28,0.02
35,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,1881398540,20882.36,1.46,1.14,0.34,1.83,1.96,0.02
36,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4013593710,14645.66,1.02,0.76,0.18,1.73,3.57,0.04
37,PAYTM,One 97 Communications Ltd.,FINANCIAL TECHNOLOGY (FINTECH),648913276,2049.54,0.14,0.85,0.08,3.91,-24.55,0.03
38,PIIND,PI Industries Ltd.,PESTICIDES AND AGROCHEMICALS,151718118,35123.04,2.46,0.85,0.24,2.64,7.74,0.10
39,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508298950,52414.84,3.67,0.79,0.30,0.87,6.36,0.02
40,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,6255.08,0.44,0.46,0.12,0.69,0.72,0.06
41,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9433199640,29169.28,2.04,1.06,0.35,0.86,-0.29,0.03
42,SRF,SRF Ltd.,CHEMICALS - SPECIALITY,2964248250,42969.15,3.01,1.24,0.38,1.73,-7.54,0.02
43,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,6776421366,17736.02,1.24,0.00,0.00,1.47,15.89,0.04
44,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,39865.16,2.79,0.94,0.31,1.31,5.01,0.03
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,30894.30,2.16,0.90,0.33,1.09,-5.15,0.03
46,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,47607.53,3.33,1.24,0.37,0.95,-0.53,0.02
47,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,20373.00,1.43,0.60,0.14,1.05,0.60,0.03
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,34733.18,2.43,1.06,0.36,1.18,4.01,0.02
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,42442.10,2.97,1.17,0.20,2.30,8.39,0.02
50,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8548736288,9666.07,0.68,1.61,0.18,3.67,3.41,0.05
,,,,,1429216.91,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2021 to 30-Nov-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-Dec-2021 to 30-Nov-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Nov-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
