Annexure II- Nifty Next 50 Index : Oct 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,25259.08,1.81,0.92,0.30,1.97,-1.05,0.02
2,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,35881.98,2.57,0.94,0.10,2.80,-6.98,0.03
3,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,46394.85,3.32,1.18,0.18,3.00,7.87,0.05
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,11154926830,43736.99,3.13,1.02,0.16,3.02,1.79,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,48963.94,3.51,0.88,0.22,2.39,3.37,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,30150.32,2.16,0.86,0.23,1.22,-1.50,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,15275.72,1.09,0.83,0.18,1.36,4.22,0.03
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16108180660,22584.49,1.62,1.15,0.24,2.68,-10.52,0.10
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,34385.43,2.46,1.34,0.37,2.30,11.56,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971349249,17788.99,1.27,0.84,0.33,1.65,-5.06,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,47858.75,3.43,0.87,0.22,2.17,5.84,0.04
12,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,15395.39,1.10,0.77,0.18,1.53,-7.25,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,17635.86,1.26,1.14,0.49,1.07,4.26,0.04
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1643095662,34980.11,2.50,1.25,0.33,2.19,-3.12,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,27194.57,1.95,0.46,0.18,1.43,0.14,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,29831.93,2.14,1.59,0.53,1.66,8.07,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1771763464,40556.86,2.90,0.64,0.25,1.51,-3.19,0.02
18,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,474552370,3330.65,0.24,1.00,0.13,4.70,-9.38,0.04
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,30778.22,2.20,0.62,0.12,1.65,4.88,0.04
