Annexure II-  Nifty 50 Index : Sep 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,94549.41,1.25,1.45,0.47,2.17,8.18,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4224746460,58939.65,0.78,1.41,0.50,2.37,-2.55,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,44748.86,0.59,0.90,0.19,2.07,1.40,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,150685.32,1.99,0.78,0.24,1.73,-1.45,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6143852518,193700.92,2.56,1.07,0.44,1.68,-2.44,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2848954940,45226.80,0.60,0.69,0.26,1.21,-13.64,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1210858466,195416.21,2.58,1.44,0.56,1.68,0.40,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1592815460,101585.47,1.34,1.38,0.50,1.89,-1.05,0.04
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,29092.28,0.38,0.94,0.35,1.58,-7.26,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27816158250,195801.28,2.59,0.78,0.31,1.50,10.09,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,45357.78,0.60,0.54,0.18,1.31,2.54,0.02
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614003206,60284.35,0.80,0.26,0.03,1.65,7.37,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,44473.33,0.59,0.90,0.19,1.39,-9.60,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,47213.48,0.62,0.73,0.19,0.92,2.16,0.02
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832242220,52681.95,0.70,0.56,0.18,1.21,2.14,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273455720,51205.02,0.68,0.97,0.33,1.71,9.31,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316630852,62847.04,0.83,1.17,0.48,1.33,-0.23,0.02
