Annexure II- Nifty Next 50 Index : Sep 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,25526.96,1.84,0.88,0.28,3.18,5.04,0.02
2,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,38576.24,2.78,0.92,0.09,3.39,-7.20,0.04
3,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,43008.13,3.10,1.14,0.17,2.10,-10.82,0.04
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,11154926830,42967.70,3.09,0.96,0.14,2.34,-16.94,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,47369.93,3.41,0.82,0.19,3.61,25.37,0.04
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,30608.41,2.20,0.93,0.22,1.71,-3.20,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,14656.84,1.06,0.84,0.19,3.51,16.93,0.04
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16108180660,25240.09,1.82,1.17,0.24,2.53,-4.27,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,30823.50,2.22,1.33,0.35,1.97,1.18,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971349249,18736.44,1.35,0.84,0.32,0.92,-8.42,0.02
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,45216.10,3.26,0.86,0.22,1.97,-1.19,0.04
12,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,16599.19,1.20,0.73,0.16,1.80,-6.11,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,16915.23,1.22,1.09,0.38,0.96,-9.84,0.04
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1643095662,36106.91,2.60,1.23,0.31,1.77,-7.36,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,27155.40,1.96,0.42,0.15,1.27,-2.72,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,27603.24,1.99,1.60,0.51,2.05,-8.54,0.04
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1771763464,41891.21,3.02,0.62,0.24,1.32,-1.82,0.02
18,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,474552370,3675.48,0.26,1.00,0.15,0.98,-8.51,0.04
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,29345.50,2.11,0.59,0.11,1.18,-4.06,0.04
20,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,164688423,5811.25,0.42,0.46,0.07,2.27,-11.62,0.04
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022634954,43078.93,3.10,0.81,0.20,1.86,-1.49,0.03
22,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1066535885,15625.13,1.12,1.01,0.37,1.17,-8.93,0.03
23,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626508016,42261.04,3.04,0.90,0.30,1.28,-3.09,0.03
24,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,24512.72,1.76,0.90,0.23,2.18,2.16,0.03
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4910933780,36760.87,2.65,0.76,0.26,1.35,-10.65,0.04
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14385417460,25545.66,1.84,0.91,0.31,0.95,-11.55,0.04
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,31920.79,2.30,0.71,0.24,1.06,-6.36,0.04
28,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,23307.47,1.68,1.37,0.26,1.62,-0.67,0.03
29,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,20627.85,1.49,1.07,0.26,1.94,-1.18,0.04
30,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1289841200,37361.88,2.69,1.37,0.36,2.01,-11.13,0.03
31,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3854345880,22355.86,1.61,1.24,0.30,1.41,-8.01,0.03
32,LTI,Larsen & Toubro Infotech Ltd.,COMPUTERS - SOFTWARE,175325436,25411.49,1.83,1.18,0.27,1.81,-3.96,0.03
33,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,7366.01,0.53,0.64,0.21,1.05,-7.70,0.02
34,MARICO,Marico Ltd.,PERSONAL CARE,1292940968,34784.55,2.50,0.68,0.25,1.61,2.33,0.03
35,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,1881398540,21611.14,1.56,1.18,0.34,1.53,-2.03,0.03
36,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4013593710,14094.12,1.01,0.81,0.19,2.03,-1.43,0.04
37,PAYTM,One 97 Communications Ltd.,FINANCIAL TECHNOLOGY (FINTECH),648913276,2714.36,0.20,0.95,0.09,1.72,-11.13,0.03
38,PIIND,PI Industries Ltd.,PESTICIDES AND AGROCHEMICALS,151718118,30149.64,2.17,0.85,0.24,1.36,-12.74,0.04
39,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508298950,51301.22,3.69,0.77,0.27,1.40,-1.68,0.02
40,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,6121.71,0.44,0.45,0.11,1.39,-0.74,0.06
41,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9433199640,32327.74,2.33,1.10,0.36,1.67,-0.94,0.04
42,SRF,SRF Ltd.,CHEMICALS - SPECIALITY,2964248250,45471.16,3.27,1.25,0.35,2.09,-1.57,0.03
43,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,4517614244,17241.70,1.24,0.00,0.00,2.00,-11.31,0.04
44,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,35112.93,2.53,0.91,0.31,2.67,-4.71,0.03
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,30848.09,2.22,0.90,0.31,1.55,-3.91,0.03
46,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,45849.78,3.30,1.42,0.30,1.90,-8.63,0.03
47,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,19145.03,1.38,0.60,0.12,1.44,0.60,0.04
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,31380.20,2.26,1.01,0.31,1.48,3.75,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,37658.91,2.71,1.27,0.20,3.42,-0.07,0.02
50,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8548736288,9236.47,0.66,1.54,0.17,3.13,7.59,0.05
,,,,,1389018.18,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period  01-Oct-2021 to 30-Sep-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-Oct-2021 to 30-Sep-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Sep-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
