Annexure II-  Nifty 50 Index : August 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,74464.59,0.87,2.25,0.11,2.32,-2.93,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,66739.22,0.78,1.92,0.21,1.96,1.84,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,48453.56,0.57,0.65,0.09,1.11,-6.95,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,146792.46,1.72,0.39,0.05,0.95,-3.59,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6158960782,266810.80,3.13,0.96,0.24,0.93,2.05,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580,52220.35,0.61,0.61,0.11,0.90,-6.44,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1211837076,190968.56,2.24,1.18,0.28,0.94,-1.88,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1592815460,80632.46,0.95,1.22,0.30,1.17,-6.84,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,32504.52,0.38,0.56,0.07,1.18,-9.79,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27903191840,215066.64,2.52,0.72,0.19,0.91,-3.76,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,52730.83,0.62,0.44,0.06,0.84,-6.80,0.01
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614448872,65985.75,0.77,0.34,0.03,1.32,7.03,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,52456.22,0.62,0.67,0.12,1.50,0.35,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,45772.30,0.54,0.23,0.01,1.48,-2.50,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832722710,68178.85,0.80,0.40,0.06,1.06,-0.58,0.01
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273658460,45654.44,0.54,0.90,0.15,1.08,-0.86,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316864252,66036.26,0.78,0.94,0.32,0.71,-3.16,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,124052.08,1.46,0.93,0.24,1.07,4.97,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7537569464,1172646.44,13.77,1.18,0.49,0.69,-4.83,0.01
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21496442300,69299.16,0.81,1.05,0.18,0.87,-0.32,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399683308,37877.34,0.44,0.77,0.15,1.54,-8.98,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247194585,67169.21,0.79,1.57,0.29,1.59,-0.59,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,223662.06,2.63,0.53,0.11,0.68,-2.18,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,13991400052,670712.74,7.87,0.96,0.41,0.77,-3.96,0.02
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12428017742,387986.56,4.55,0.73,0.18,0.91,-5.58,0.02
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7760229030,89835.98,1.05,1.31,0.27,1.29,-2.79,0.03
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20749373460,512296.64,6.01,1.33,0.34,0.87,5.88,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,74357.33,0.87,1.10,0.27,1.23,-4.54,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9933075635,258552.99,3.04,0.80,0.25,0.67,-5.27,0.02
30,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,295885357,47636.18,0.56,1.14,0.22,1.04,6.17,0.03
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2811145506,326700.37,3.84,0.89,0.25,1.03,0.80,0.02
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,141051.98,1.66,1.05,0.25,1.39,6.79,0.02
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300,132965.73,1.56,0.63,0.15,0.91,1.86,0.02
34,NTPC,NTPC Ltd.,POWER,96966661340,104672.60,1.23,0.66,0.13,1.28,0.89,0.03
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,78433.88,0.92,0.55,0.13,0.76,-2.51,0.03
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,67916.52,0.80,0.64,0.11,0.91,-1.64,0.02
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,69754528640,83586.50,0.98,0.60,0.08,1.74,-8.08,0.03
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67656118050,814241.38,9.56,0.00,0.00,0.87,-5.58,0.02
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10009016860,58217.20,0.68,0.94,0.24,1.22,0.81,0.03
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934,215422.73,2.53,1.22,0.35,1.15,-9.49,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,120019.53,1.41,0.42,0.08,0.79,-2.78,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3659051373,343915.70,4.04,0.96,0.32,0.78,-1.89,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650,49607.74,0.58,0.88,0.24,0.96,-2.90,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6642981164,105799.44,1.24,1.03,0.19,1.11,-6.72,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12221532630,99133.74,1.16,1.15,0.26,1.27,-0.20,0.03
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4872120870,74957.38,0.88,1.05,0.19,1.14,7.75,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,129536.12,1.52,0.66,0.14,0.90,3.34,0.02
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1501215282,29729.35,0.35,1.17,0.31,1.16,-5.37,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886863450,95814.42,1.12,0.75,0.19,0.88,-0.25,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10977683986,60524.36,0.71,1.00,0.35,0.86,0.83,0.02
51,JIOFIN,JIO FINANCIAL SERVICES LTD.,Non Banking Financial Company (NBFC),67656118050,78988.52,0.93,-,-,-,-,-
,,,,,,,,,,,
,,,,,8518787.72,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2022 to 31-Aug-2023,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2022 to 31-Aug-2023,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Aug-2023,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
