Annexure II-  Nifty 50 Index : December 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,74699.54,0.79,2.86,0.14,4.36,20.79,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,75233.10,0.79,2.03,0.18,3.88,24.09,0.04
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,57411.34,0.60,0.69,0.10,1.30,3.17,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,153388.00,1.61,0.54,0.10,0.78,9.05,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6167389902,305924.13,3.22,0.95,0.26,1.14,2.61,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580,76933.28,0.81,0.52,0.06,1.52,11.60,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1236046154,203792.34,2.15,1.05,0.19,1.31,2.89,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1595488813,91448.95,0.96,1.07,0.23,1.02,0.73,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,43013.24,0.45,0.76,0.10,2.01,3.43,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28108899680,261126.06,2.75,0.80,0.21,1.11,1.72,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,63007.30,0.66,0.41,0.06,1.05,10.01,0.02
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614700796,65403.05,0.69,0.40,0.03,1.05,2.80,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,85735.88,0.90,0.84,0.12,2.02,9.89,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,49745.41,0.52,0.40,0.02,1.42,3.04,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834046985,70601.53,0.74,0.44,0.06,1.48,0.17,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273775500,56719.44,0.60,0.96,0.16,2.15,6.33,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316897582,78716.76,0.83,0.99,0.32,1.20,6.45,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,155161.67,1.63,1.00,0.23,1.88,9.34,0.03
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7590490215,1284430.50,13.52,1.15,0.45,0.99,9.65,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21506596160,68150.75,0.72,0.79,0.08,1.60,-6.38,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399774306,53783.79,0.57,0.80,0.12,1.47,8.39,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523,89810.57,0.95,1.32,0.25,1.49,19.24,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,237849.36,2.50,0.50,0.10,0.83,4.65,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14028184004,699024.41,7.36,1.01,0.40,1.41,6.59,0.02
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12475608672,409313.49,4.31,0.63,0.13,1.24,6.03,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7777321820,105702.16,1.11,1.24,0.24,1.25,9.06,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20752177945,550718.81,5.80,1.35,0.32,1.72,6.03,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,83951.82,0.88,1.13,0.29,1.20,9.88,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9937658705,280638.29,2.95,0.98,0.32,1.09,8.70,0.02
30,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,295915763,57746.02,0.61,1.11,0.20,1.49,13.69,0.03
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2749096630,416812.53,4.39,0.85,0.19,1.41,13.41,0.02
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,154840.23,1.63,1.11,0.22,1.53,4.96,0.02
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,136041.59,1.43,0.52,0.11,0.89,-2.89,0.02
34,NTPC,NTPC Ltd.,POWER,96966661340,147838.77,1.56,0.85,0.15,1.99,19.08,0.03
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,94822.07,1.00,0.45,0.07,1.35,9.67,0.03
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,79967.17,0.84,0.72,0.12,1.46,5.18,0.03
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,108099.06,1.14,0.49,0.05,1.75,13.52,0.03
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67656842410,874447.77,9.20,1.26,0.50,0.81,8.73,0.02
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10012402030,64546.95,0.68,0.94,0.19,1.00,-0.18,0.03
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934,246392.03,2.59,1.32,0.37,1.57,13.69,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,135982.91,1.43,0.44,0.08,0.73,2.74,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,384295.89,4.05,0.97,0.27,1.47,8.77,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650,65627.24,0.69,0.67,0.13,1.15,15.52,0.02
