Annexure II-  Nifty 50 Index : Feb 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,37314.97,0.49,1.59,0.13,11.43,-54.14,0.17
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,44792.10,0.59,1.57,0.28,6.10,-3.30,0.06
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,44935.17,0.59,0.78,0.17,1.72,3.42,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,127528.80,1.67,0.76,0.20,1.27,3.78,0.01
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6149623648,228399.48,2.99,1.05,0.37,0.96,-3.16,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580,41438.54,0.54,0.65,0.18,1.41,-4.11,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1210858466,162819.54,2.13,1.40,0.47,1.78,3.83,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1592815460,72292.48,0.95,1.35,0.42,2.02,-0.56,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,30978.56,0.41,0.78,0.23,1.15,-7.55,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27822102835,185858.60,2.43,0.72,0.25,0.93,-3.64,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,52660.01,0.69,0.53,0.12,1.34,3.34,0.02
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614146864,49012.60,0.64,0.47,0.10,1.78,-10.96,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,45133.36,0.59,0.67,0.10,1.07,-4.20,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,36005.18,0.47,0.57,0.08,3.00,-14.77,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832618195,52473.56,0.69,0.51,0.12,0.92,-0.17,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273478020,43319.16,0.57,1.01,0.28,1.68,-4.82,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316803372,59241.24,0.78,0.99,0.39,1.05,-0.73,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,114045.57,1.49,0.89,0.34,1.07,-3.97,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5576755396,704725.66,9.23,1.14,0.52,1.11,-0.24,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21491750050,48323.77,0.63,0.99,0.26,2.99,-15.56,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399660866,31421.64,0.41,0.81,0.22,1.01,-12.45,0.02
