Annexure II- Nifty Next 50 Index : Feb 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,16700.83,1.37,1.00,0.21,2.38,-12.02,0.03
2,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,8798.76,0.72,1.18,0.08,3.25,-60.35,3.46
3,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,9706.53,0.80,1.53,0.14,1.50,-67.81,4.94
4,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,11154926830,9327.70,0.76,1.37,0.13,3.17,-63.76,4.26
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,30018.39,2.46,1.00,0.12,4.97,-14.73,0.05
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,25334.36,2.08,0.80,0.17,0.89,-2.44,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,14123.01,1.16,0.87,0.15,1.30,6.29,0.04
8,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16108256600,20878.59,1.71,1.08,0.19,2.00,-5.45,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,35353.75,2.90,1.45,0.33,2.69,-5.27,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971349249,16810.27,1.38,0.86,0.26,1.43,5.54,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,40468.99,3.32,0.78,0.15,1.54,-0.37,0.04
12,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6003000000,12157.68,1.00,0.74,0.17,2.00,-2.51,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,18383.97,1.51,1.01,0.36,1.08,5.68,0.04
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1643372412,35635.84,2.92,1.25,0.30,1.81,7.01,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,23454.33,1.92,0.39,0.09,0.61,1.41,0.02
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,25990.34,2.13,1.40,0.45,1.49,-1.24,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1771763464,36065.15,2.96,0.65,0.18,1.24,-4.51,0.02
18,NYKAA,FSN E-Commerce Ventures Ltd.,E-RETAIL/ E-COMMERCE,2848275690,9954.53,0.82,0.93,0.09,2.49,2.38,0.04
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,33050.35,2.71,0.41,0.05,1.60,7.88,0.04
20,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,164690223,4178.55,0.34,0.43,0.03,3.42,1.31,0.03
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022695318,41727.44,3.42,0.71,0.14,0.94,1.10,0.03
22,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1066594885,17060.07,1.40,0.99,0.28,1.27,-4.26,0.03
23,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626509738,35828.70,2.94,0.80,0.21,1.32,1.29,0.03
24,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,25702.78,2.11,0.87,0.15,2.63,0.84,0.03
25,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4910974530,33606.59,2.76,0.75,0.21,0.75,-2.47,0.04
26,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14385618460,18968.82,1.56,0.84,0.20,2.87,-9.62,0.04
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,34631.13,2.84,0.58,0.15,0.94,-6.97,0.04
28,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,22120.76,1.81,1.17,0.38,1.33,-4.30,0.03
29,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,17052.31,1.40,0.85,0.13,3.69,11.48,0.05
30,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1291841200,32324.23,2.65,1.43,0.33,2.41,-4.88,0.04
31,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3854747880,23930.11,1.96,1.03,0.25,1.46,-12.61,0.03
32,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,295798429,51715.30,4.24,1.17,0.28,1.87,8.09,0.03
33,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,7613.31,0.62,0.80,0.17,2.10,-11.46,0.03
34,MARICO,Marico Ltd.,PERSONAL CARE,1293012108,30385.77,2.49,0.58,0.14,1.12,-1.24,0.02
35,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,1883232260,20143.61,1.65,1.10,0.26,2.09,-1.80,0.03
36,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4014362510,12590.57,1.03,0.77,0.15,1.16,-6.85,0.04
37,PAYTM,One 97 Communications Ltd.,FINANCIAL TECHNOLOGY (FINTECH),649334387,2824.73,0.23,0.89,0.06,4.77,12.50,0.03
38,PIIND,PI Industries Ltd.,PESTICIDES AND AGROCHEMICALS,151718118,29767.53,2.44,0.78,0.17,2.60,3.41,0.04
