Annexure II-  Nifty 50 Index : Jun 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,73504.25,0.87,2.07,0.11,2.29,-4.22,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,62278.43,0.74,1.74,0.21,1.71,0.05,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,51313.01,0.61,0.68,0.12,1.65,10.30,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,151568.93,1.79,0.49,0.09,0.90,5.30,0.01
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6158960782,270634.13,3.20,1.03,0.29,1.06,7.94,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580,53100.34,0.63,0.62,0.14,0.95,2.72,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1211837076,190904.57,2.26,1.37,0.35,1.10,2.44,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1592815460,82749.95,0.98,1.42,0.35,0.92,5.30,0.02
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,34809.56,0.41,0.57,0.09,1.52,0.33,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27903191840,220679.37,2.61,0.70,0.17,1.02,3.39,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,59302.49,0.70,0.41,0.06,1.07,7.89,0.02
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614448872,53254.01,0.63,0.38,0.05,1.15,6.49,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,52672.84,0.62,0.63,0.11,1.18,-4.25,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,45663.99,0.54,0.30,0.01,1.42,4.07,0.02
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832722710,62729.13,0.74,0.28,0.03,0.86,14.63,0.01
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273658460,48986.23,0.58,0.96,0.20,0.95,-2.50,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316864252,63960.36,0.76,0.88,0.29,1.25,0.95,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,125724.24,1.49,0.93,0.27,1.03,3.74,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5591798806,751597.03,8.90,1.15,0.51,0.75,5.62,0.01
