Annexure II-  Nifty 50 Index : Mar 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,47892.36,0.63,1.80,0.14,6.10,28.35,0.03
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,47774.71,0.63,1.70,0.28,3.52,6.66,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,43388.89,0.57,0.78,0.17,0.81,-2.06,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,124501.52,1.63,0.62,0.15,1.11,-2.37,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6153080914,235067.69,3.08,0.99,0.34,1.31,1.71,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580,43968.74,0.58,0.61,0.16,1.20,6.11,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1210858466,149623.96,1.96,1.33,0.42,1.52,-8.10,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1592815460,68588.23,0.90,1.34,0.39,1.81,-5.12,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,32862.44,0.43,0.72,0.18,1.67,8.49,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27875673250,183734.14,2.41,0.75,0.27,1.19,0.91,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,51012.38,0.67,0.46,0.10,1.06,-3.13,0.02
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614287860,47244.15,0.62,0.51,0.12,0.78,-0.65,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,44766.67,0.59,0.86,0.19,1.10,-0.81,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,35976.51,0.47,0.52,0.07,0.64,-0.08,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832634270,56196.28,0.74,0.49,0.12,0.71,7.09,0.01
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273481570,40322.81,0.53,0.96,0.25,1.23,-5.06,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316864252,60201.24,0.79,0.91,0.34,0.94,3.43,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,114855.20,1.51,0.99,0.39,1.39,0.71,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5579742786,709489.13,9.31,1.12,0.50,1.05,0.62,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21493637650,49356.27,0.65,1.03,0.29,1.54,2.13,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399679436,30491.09,0.40,0.73,0.20,1.21,-2.97,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247194585,59208.52,0.78,1.66,0.39,1.95,1.54,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,228599.49,3.00,0.65,0.18,1.11,4.05,0.02
24,HDFC,Housing Development Finance Corporation Ltd.,HOUSING FINANCE,3660128386,475678.52,6.24,1.22,0.53,0.93,0.62,0.02
25,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,13963693462,612482.50,8.04,0.99,0.52,1.19,2.62,0.02
26,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12420391452,338188.63,4.44,0.55,0.16,0.93,1.81,0.03
27,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7758591580,69600.62,0.91,1.41,0.40,2.42,-0.90,0.02
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20742800220,509458.52,6.68,1.22,0.47,1.25,-4.01,0.02
29,JSWSTEEL,JSW Steel Ltd.,STEEL,2417220440,64868.29,0.85,1.10,0.26,1.24,3.13,0.03
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9932524185,254731.30,3.34,0.86,0.37,1.06,0.21,0.02
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2810872948,261581.52,3.43,1.01,0.43,1.00,2.61,0.02
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,103743.13,1.36,1.00,0.32,1.37,-8.74,0.02
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300,110215.30,1.45,0.73,0.24,1.04,-3.85,0.02
34,NTPC,NTPC Ltd.,POWER,96966661340,83196.43,1.09,0.55,0.11,1.01,2.70,0.03
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,70293.47,0.92,0.61,0.22,1.20,5.54,0.02
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,58907.79,0.77,0.64,0.08,1.18,-0.66,0.03
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,69754528640,77143.63,1.01,0.47,0.08,1.10,1.55,0.03
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67654892760,788534.69,10.34,1.11,0.43,1.70,0.37,0.01
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10008787890,49593.04,0.65,0.94,0.30,1.27,-1.78,0.03
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934,200993.42,2.64,1.13,0.45,1.83,0.18,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,106145.38,1.39,0.53,0.16,0.75,2.77,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3659051373,328455.48,4.31,1.00,0.44,1.14,-3.23,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650,42145.91,0.55,0.79,0.28,0.94,-0.90,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6642688650,74073.95,0.97,1.26,0.35,1.66,0.02,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12221532630,84291.91,1.11,1.28,0.28,1.51,0.53,0.03
