Annexure II- Nifty Next 50 Index : Mar 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,20448.33,1.69,0.67,0.10,1.54,4.59,0.02
2,ACC,ACC Ltd.,CEMENT,1877872630,15441.43,1.28,1.07,0.22,2.18,-3.72,0.02
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,11666.64,0.97,1.10,0.06,3.60,81.57,3.47
4,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,11079.29,0.92,1.58,0.13,4.23,27.88,2.53
5,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,11154926830,12345.50,1.02,1.33,0.11,3.68,54.46,2.89
6,AWL,Adani Wilmar Ltd.,EDIBLE OIL,1299678605,2939.29,0.24,1.14,0.10,3.90,12.22,1.58
7,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,30804.59,2.55,1.05,0.12,2.70,6.85,0.03
8,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,22507.08,1.86,0.81,0.17,1.02,-0.47,0.04
9,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,11932.27,0.99,0.88,0.14,1.52,-5.34,0.04
10,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,36055.69,2.98,1.48,0.33,2.09,6.19,0.03
11,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971422485,15555.49,1.29,0.78,0.22,1.13,0.36,0.03
12,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,40076.79,3.32,0.91,0.19,1.80,3.12,0.04
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,19002.86,1.57,1.01,0.36,1.29,7.63,0.03
14,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,21899.87,1.81,1.67,0.41,2.11,1.75,0.03
