Annexure II- Nifty Next 50 Index : October 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,24355.64,1.65,0.77,0.08,1.58,0.27,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,13173.73,0.89,1.31,0.05,1.74,-4.99,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,16984.90,1.15,1.03,0.03,2.01,-7.65,0.03
4,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,7934.34,0.54,1.24,0.05,1.94,-7.98,0.04
5,AWL,Adani Wilmar Ltd.,EDIBLE OIL,1299678605,2604.81,0.18,1.62,0.14,2.13,-3.20,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,34887.79,2.36,1.80,0.20,1.29,-0.08,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,27809.09,1.88,0.60,0.07,1.42,-1.15,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,15374.04,1.04,0.47,0.04,1.68,-2.56,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,40864.86,2.77,1.52,0.21,1.85,-8.30,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165706982,17484.17,1.18,0.64,0.08,1.42,-1.80,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,53396.29,3.62,1.16,0.19,1.35,-3.65,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,18612.76,1.26,0.60,0.11,1.31,2.27,0.03
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,28862.94,1.95,1.67,0.29,2.04,2.15,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1644810314,50227.97,3.40,0.99,0.13,1.63,-6.59,0.02
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,31517.33,2.13,0.28,0.02,1.23,5.40,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,39012.87,2.64,1.34,0.25,2.03,6.14,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772034671,34602.16,2.34,0.51,0.07,1.04,-4.12,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,36041.07,2.44,0.73,0.09,1.82,-3.94,0.04
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022758404,41991.78,2.84,0.33,0.03,1.02,0.03,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626674350,34947.47,2.37,0.67,0.09,1.62,-10.28,0.03
21,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,38192.68,2.59,0.98,0.11,1.39,-5.45,0.03
22,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4913858530,39272.91,2.66,0.69,0.11,1.09,4.91,0.04
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14396138960,22841.22,1.55,0.92,0.10,1.30,-7.23,0.04
24,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,36845.30,2.50,0.67,0.11,1.23,-1.37,0.03
25,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,22629.10,1.53,1.05,0.22,1.43,-2.28,0.03
26,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1291841200,35417.36,2.40,1.43,0.22,1.37,-1.95,0.03
27,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3857916190,33891.77,2.30,0.84,0.11,1.86,3.05,0.03
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,26039.70,1.76,1.43,0.20,1.43,-9.63,0.03
29,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,7791.84,0.53,0.98,0.16,1.00,-7.31,0.03
30,MARICO,Marico Ltd.,PERSONAL CARE,1293596488,31060.79,2.10,0.22,0.01,1.25,-4.47,0.02
31,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4014488910,15748.76,1.07,0.82,0.13,1.33,3.73,0.04
32,PIIND,PI Industries Ltd.,PESTICIDES AND AGROCHEMICALS,151718118,30598.17,2.07,0.92,0.11,0.99,-1.50,0.03
33,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508461540,41947.37,2.84,0.61,0.12,1.68,0.76,0.02
34,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,8443.96,0.57,0.33,0.03,1.53,-2.29,0.06
35,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22022031116,24280.49,1.64,1.61,0.19,2.18,-8.98,0.04
36,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9466035590,24496.24,1.66,0.80,0.16,1.51,-5.68,0.03
37,SRF,SRF Ltd.,CHEMICALS - SPECIALITY,2964248250,35673.69,2.42,0.91,0.18,1.30,-2.41,0.03
38,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,6776421366,24398.53,1.65,1.00,0.12,1.63,-4.22,0.04
