Annexure II- Nifty Next 50 Index : September 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,24290.14,1.61,0.73,0.07,1.88,-6.47,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,13865.96,0.92,1.52,0.07,2.11,-0.21,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,18391.53,1.22,1.02,0.03,1.53,6.30,0.03
4,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,8622.60,0.57,1.25,0.05,1.02,-3.55,0.04
5,AWL,Adani Wilmar Ltd.,EDIBLE OIL,1299678605,2690.95,0.18,1.55,0.13,1.04,-6.15,0.03
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,34916.56,2.31,1.83,0.20,1.29,-0.84,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,28132.08,1.86,0.57,0.07,0.83,-1.20,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,15778.12,1.04,0.39,0.03,1.12,-4.43,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,44561.86,2.95,1.54,0.23,1.99,14.32,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165706982,17805.00,1.18,0.61,0.07,2.93,-5.01,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,55419.94,3.67,1.20,0.20,2.29,3.83,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,18200.09,1.20,0.63,0.13,0.89,2.40,0.03
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,28254.67,1.87,1.66,0.29,2.36,17.43,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1644810314,53772.15,3.56,1.03,0.14,1.74,8.53,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,29903.30,1.98,0.33,0.03,1.43,3.27,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,36755.87,2.43,1.26,0.24,1.43,5.32,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772034671,36087.26,2.39,0.52,0.07,0.79,-0.27,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,37518.90,2.48,0.70,0.10,1.94,8.17,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022758404,41981.20,2.78,0.31,0.03,0.89,-1.35,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626674350,38952.21,2.58,0.77,0.12,1.75,0.32,0.03
21,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,40394.52,2.67,0.97,0.11,1.29,-1.13,0.02
22,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4913858530,37436.19,2.48,0.70,0.12,1.26,-0.32,0.04
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14396138960,24621.99,1.63,0.99,0.13,2.27,0.41,0.04
24,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,37358.75,2.47,0.58,0.09,1.54,2.08,0.03
25,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,23156.27,1.53,0.91,0.19,1.79,1.32,0.03
26,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1291841200,36120.20,2.39,1.48,0.24,1.19,-3.84,0.03
27,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3857916190,32888.36,2.18,0.79,0.11,1.17,-2.21,0.02
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,28814.99,1.91,1.44,0.21,1.70,2.46,0.03
29,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,8406.39,0.56,0.88,0.14,1.11,0.69,0.03
30,MARICO,Marico Ltd.,PERSONAL CARE,1293596488,32513.83,2.15,0.29,0.02,1.16,-1.47,0.02
31,MUTHOOTFIN,Muthoot Finance Ltd.,NBFC,4014488910,15182.45,1.01,0.76,0.12,1.64,-0.66,0.04
32,PIIND,PI Industries Ltd.,PESTICIDES AND AGROCHEMICALS,151718118,31063.72,2.06,0.91,0.11,1.12,-4.83,0.03
33,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508461540,41631.66,2.76,0.61,0.14,0.93,-3.00,0.02
34,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,8642.17,0.57,0.25,0.02,1.69,12.51,0.06
35,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22022031116,26675.28,1.77,1.54,0.18,2.78,27.30,0.05
36,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9466035590,25971.96,1.72,0.83,0.17,1.23,-3.12,0.03
37,SRF,SRF Ltd.,CHEMICALS - SPECIALITY,2964248250,36552.82,2.42,0.89,0.18,1.17,-4.54,0.03
38,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,6776421366,25473.18,1.69,0.82,0.08,1.72,0.21,0.03
39,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,38033.34,2.52,0.64,0.07,1.78,6.99,0.03
40,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3753470830,59643.41,3.95,0.65,0.05,1.54,-0.46,0.02
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,36579.86,2.42,0.67,0.08,1.06,-6.36,0.03
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,39634.23,2.62,0.73,0.08,1.08,7.18,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,41258.32,2.73,1.03,0.22,1.61,7.02,0.03
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,19721.99,1.31,0.35,0.03,1.63,4.70,0.03
45,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,51292.53,3.40,0.97,0.15,1.38,1.54,0.03
46,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,32785.72,2.17,0.86,0.15,1.42,-0.03,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6495682380,22617.97,1.50,0.64,0.03,1.35,5.14,0.04
