Annexure II- Nifty Next 50 Index : April 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,42949.73,1.78,0.93,0.09,1.99,2.83,0.01
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,11713.14,0.49,1.19,0.05,0.96,3.75,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,23911.61,0.99,1.60,0.12,1.10,-2.04,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,20698.39,0.86,1.48,0.11,2.26,14.73,0.47
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,9326.79,0.39,1.48,0.07,0.81,0.28,0.03
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,45770.89,1.90,1.20,0.18,1.39,1.23,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,25157.01,1.05,0.47,0.05,1.66,1.73,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,12861.64,0.53,0.52,0.04,1.19,-1.89,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,64957.70,2.70,1.30,0.22,1.70,6.61,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165769724,17636.10,0.73,0.69,0.08,1.17,-11.26,0.02
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,103775.95,4.31,1.15,0.17,1.34,16.00,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,31122.09,1.29,0.61,0.09,1.15,-2.25,0.03
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,51745.24,2.15,1.32,0.21,1.42,7.04,0.02
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1679764774,60870.79,2.53,0.91,0.11,1.30,3.17,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,46664.03,1.94,0.60,0.07,1.52,4.22,0.02
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,71144.35,2.96,1.32,0.22,1.58,-0.57,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772039162,36802.89,1.53,0.79,0.19,1.22,-2.94,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,69869.08,2.90,1.28,0.19,1.75,15.49,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022820329,57204.17,2.38,0.80,0.13,1.55,-2.58,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626683030,51701.84,2.15,0.59,0.07,1.54,9.83,0.03
21,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,91433.93,3.80,1.02,0.12,1.60,18.41,0.02
22,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4926283490,54316.11,2.26,0.50,0.05,1.73,1.55,0.04
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14404531210,27617.64,1.15,0.75,0.08,1.62,-5.87,0.04
24,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,76840.82,3.19,1.28,0.16,1.94,0.66,0.03
25,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,39140.77,1.63,1.21,0.15,1.57,11.73,0.03
26,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,10504.04,0.44,1.80,0.09,1.86,10.47,0.03
27,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1293841200,58250.75,2.42,1.37,0.21,2.48,8.26,0.03
28,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3859786890,70492.64,2.93,0.83,0.10,2.02,12.22,0.02
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,42315.98,1.76,1.42,0.21,1.30,9.48,0.03
30,JIOFIN,Jio Financial Services Ltd.,NBFC,63532841880,44598.64,1.85,0.00,0.00,2.04,6.57,0.03
31,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,9036.12,0.38,1.06,0.12,1.10,6.78,0.03
32,MARICO,Marico Ltd.,PERSONAL CARE,1294079188,33234.98,1.38,0.35,0.03,1.16,4.18,0.02
33,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508609340,57664.40,2.40,0.65,0.11,1.34,1.14,0.02
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,79470.27,3.30,1.61,0.16,1.88,13.15,0.03
35,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22022031116,51976.74,2.16,1.68,0.24,2.20,13.38,0.03
36,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,77797.72,3.23,1.52,0.13,2.66,12.45,0.04
37,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9509007190,26610.43,1.11,0.59,0.08,1.85,6.70,0.03
38,SRF,SRF Ltd.,CHEMICALS - SPECIALITY,2964248250,47187.91,1.96,0.97,0.22,1.11,2.37,0.02
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,6776421366,38569.77,1.60,0.86,0.11,1.16,12.04,0.03
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,40449.15,1.68,0.75,0.11,0.85,-4.82,0.03
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,64464.51,2.68,0.76,0.09,1.22,8.70,0.02
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,59440.35,2.47,0.73,0.10,1.60,-4.27,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,94303.05,3.92,1.25,0.17,0.98,13.96,0.03
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,29930.94,1.24,0.34,0.02,1.34,1.61,0.02
45,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,120472.94,5.00,0.62,0.04,1.37,11.70,0.02
46,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,42444.87,1.76,0.74,0.10,2.00,3.77,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6496952315,25968.90,1.08,0.36,0.0157,1.76,5.78,0.03
48,VEDL,Vedanta Ltd.,ALUMINIUM,3717206239,65990.79,2.74,1.09,0.12,2.42,46.46,0.03
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8819783744,41049.55,1.71,1.00,0.08,2.03,6.07,0.03
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1012204139,29908.62,1.24,0.53,0.05,1.75,-5.34,0.03
,,,,,2407366.77,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 02-May-2023 to 30-Apr-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-May-2023 to 30-Apr-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
