Annexure II- Nifty Next 50 Index : December 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,28244.26,1.54,0.76,0.08,2.17,5.77,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,14938.81,0.82,1.50,0.05,5.77,19.84,0.07
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,27596.53,1.51,1.39,0.05,6.34,55.23,0.17
4,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,12883.99,0.70,1.75,0.06,7.22,39.38,0.06
5,AWL,Adani Wilmar Ltd.,EDIBLE OIL,1299678605,2625.31,0.14,1.45,0.11,3.09,4.18,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,43644.76,2.38,1.88,0.20,2.86,18.59,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,28982.15,1.58,0.40,0.04,0.99,3.36,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,15799.67,0.86,0.41,0.03,2.53,4.33,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,49066.12,2.68,1.49,0.24,1.52,17.25,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165706982,19292.08,1.05,0.58,0.06,1.39,5.27,0.02
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,75242.69,4.11,1.21,0.19,1.83,26.25,0.03
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,21658.48,1.18,0.57,0.10,1.01,2.80,0.03
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,33490.57,1.83,1.59,0.29,1.73,8.55,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1679268120,57903.82,3.16,0.99,0.13,1.38,12.74,0.02
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,38449.03,2.10,0.38,0.04,1.47,15.19,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,53315.56,2.91,1.27,0.22,1.69,16.07,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772036910,37159.70,2.03,0.55,0.09,1.09,3.56,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,49836.04,2.72,0.84,0.10,2.62,22.90,0.04
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022820329,48821.92,2.66,0.39,0.04,1.17,12.20,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626683030,39106.82,2.13,0.63,0.08,0.96,5.01,0.03
